image_id,text_description
000011.jpg,"Her hair is black. She has a slightly open mouth. The female is smiling, looks attractive and young. 
Her hair is black. She has a slightly open mouth. The female seems attractive and young is smiling. 
She has black hair. She has a slightly open mouth. She is smiling, is attractive and young. 
She has black hair. She has a slightly open mouth. The female is smiling, seems attractive and young. 
She has black hair. She has a slightly open mouth. She is smiling, is attractive and young."
000012.jpg,"The gentleman has pretty high cheekbones and an oval face. His hair is black and straight. He has bushy eyebrows and a slightly open mouth. The male looks attractive and young is smiling. 
The male has high cheekbones and an oval face. He has black and straight hair. He has bushy eyebrows and a slightly open mouth. The male is smiling, is attractive and young. 
The man has high cheekbones and an oval face. He has black and straight hair. He has bushy eyebrows and a slightly open mouth. He is smiling, looks attractive and young. 
The man has high cheekbones and an oval face. His hair is black and straight. He has bushy eyebrows and a slightly open mouth. He is attractive and young is smiling. 
The gentleman has high cheekbones and an oval face. His hair is black and straight. He has bushy eyebrows and a slightly open mouth. He is smiling, is attractive and young."
000013.jpg,"The man has pretty high cheekbones and an oval face. He has blond and straight hair. He has a slightly open mouth. He is smiling and looks young. 
The man has high cheekbones and an oval face. He has blond and straight hair. He has a slightly open mouth. He seems young and is smiling. 
The male has pretty high cheekbones and an oval face. He has blond and straight hair. He has a slightly open mouth. The man is smiling and looks young. 
The gentleman has pretty high cheekbones and an oval face. His hair is blond and straight. He has a slightly open mouth. The gentleman is smiling and is young. 
The male has high cheekbones and an oval face. He has blond and straight hair. He has a slightly open mouth. The gentleman is smiling and looks young."
000014.jpg,"The woman has pretty high cheekbones. Her hair is black. She has arched eyebrows, a big nose and bushy eyebrows. The woman is young, is smiling and has heavy makeup. She is wearing lipstick and a necklace. 
The woman has pretty high cheekbones. She has black hair. She has arched eyebrows, a big nose and bushy eyebrows. The lady looks young, is smiling and has heavy makeup. She is wearing lipstick and a necklace. 
The female has high cheekbones. Her hair is black. She has arched eyebrows, a big nose and bushy eyebrows. The lady is young, is smiling and has heavy makeup. She is wearing lipstick and a necklace. 
The woman has high cheekbones. She has black hair. She has arched eyebrows, a big nose and bushy eyebrows. The lady is smiling, is young and has heavy makeup. She is wearing lipstick and a necklace. 
The woman has pretty high cheekbones. Her hair is black. She has arched eyebrows, a big nose and bushy eyebrows. She is smiling, is young and has heavy makeup. She is wearing lipstick and a necklace."
000015.jpg,"He sports a 5 o' clock shadow. He has straight hair. He has a big nose and narrow eyes. He is wearing a necktie. 
He wears a 5 o' clock shadow. He has straight hair. He has a big nose and narrow eyes. He is wearing a necktie. 
He grows a 5 o' clock shadow. He has straight hair. He has a big nose and narrow eyes. He is wearing a necktie. 
He has a 5 o' clock shadow. His hair is straight. He has a big nose and narrow eyes. He is wearing a necktie. 
He has a 5 o' clock shadow. His hair is straight. He has a big nose and narrow eyes. He is wearing a necktie."
000016.jpg,"He wears a 5 o' clock shadow. His hair is straight. The male is smiling and seems young. 
He sports a 5 o' clock shadow. His hair is straight. The man is smiling and is young. 
He has a 5 o' clock shadow. His hair is straight. The gentleman seems young and is smiling. 
He wears a 5 o' clock shadow. His hair is straight. He is smiling and seems young. 
He has a 5 o' clock shadow. He has straight hair. The man is smiling and looks young."
000017.jpg,"The lady has pretty high cheekbones and an oval face. Her hair is black and straight. She has a slightly open mouth. The woman is smiling and seems young. 
The woman has high cheekbones and an oval face. Her hair is black and straight. She has a slightly open mouth. The woman is smiling and looks young. 
The female has pretty high cheekbones and an oval face. She has black and straight hair. She has a slightly open mouth. The female seems young and is smiling. 
The lady has pretty high cheekbones and an oval face. She has black and straight hair. She has a slightly open mouth. The woman seems young and is smiling. 
The female has high cheekbones and an oval face. Her hair is black and straight. She has a slightly open mouth. The lady is young and is smiling."
000018.jpg,"The woman has high cheekbones. She has blond and wavy hair. She has arched eyebrows, a big nose, a slightly open mouth, narrow eyes and a pointy nose. The woman is smiling, has rosy cheeks and heavy makeup. She is wearing earrings, lipstick and a necklace. 
The lady has pretty high cheekbones. She has blond and wavy hair. She has arched eyebrows, a big nose, a slightly open mouth, narrow eyes and a pointy nose. She is smiling, has rosy cheeks and heavy makeup. She is wearing earrings, lipstick and a necklace. 
The woman has high cheekbones. Her hair is blond and wavy. She has arched eyebrows, a big nose, a slightly open mouth, narrow eyes and a pointy nose. The lady is smiling, has rosy cheeks and heavy makeup. She is wearing earrings, lipstick and a necklace. 
The woman has pretty high cheekbones. Her hair is blond and wavy. She has arched eyebrows, a big nose, a slightly open mouth, narrow eyes and a pointy nose. The woman is smiling, has rosy cheeks and heavy makeup. She is wearing earrings, lipstick and a necklace. 
The female has pretty high cheekbones. She has blond and wavy hair. She has arched eyebrows, a big nose, a slightly open mouth, narrow eyes and a pointy nose. She is smiling, has rosy cheeks and heavy makeup. She is wearing earrings, lipstick and a necklace."
000019.jpg,"The female has an oval face. She has blond and wavy hair. She has arched eyebrows. She seems attractive, young, has pale skin and heavy makeup. She is wearing lipstick and a necklace. 
The lady has an oval face. Her hair is blond and wavy. She has arched eyebrows. The female is attractive, young, has pale skin and heavy makeup. She is wearing lipstick and a necklace. 
The lady has an oval face. She has blond and wavy hair. She has arched eyebrows. She seems attractive, young, has pale skin and heavy makeup. She is wearing lipstick and a necklace. 
The woman has an oval face. Her hair is blond and wavy. She has arched eyebrows. The lady is attractive, young, has pale skin and heavy makeup. She is wearing lipstick and a necklace. 
The woman has an oval face. She has blond and wavy hair. She has arched eyebrows. The lady is attractive, young, has pale skin and heavy makeup. She is wearing lipstick and a necklace."
000020.jpg,"The gentleman is chubby. He has a goatee and has sideburns. He has black hair. He has a slightly open mouth and narrow eyes. The man looks young. 
The gentleman looks chubby. He sports a goatee and has sideburns. He has black hair. He has a slightly open mouth and narrow eyes. The male is young. 
The man is chubby. He has a goatee and has sideburns. He has black hair. He has a slightly open mouth and narrow eyes. The gentleman is young. 
The man looks chubby. He grows a goatee and has sideburns. His hair is black. He has a slightly open mouth and narrow eyes. He is young. 
The man has a chubby face. He has a goatee and has sideburns. He has black hair. He has a slightly open mouth and narrow eyes. He seems young."
000021.jpg,"He has gray and straight hair. He has a big nose and a slightly open mouth. The male is smiling. He is wearing a necktie. 
He has gray and straight hair. He has a big nose and a slightly open mouth. He is smiling. He is wearing a necktie. 
He has gray and straight hair. He has a big nose and a slightly open mouth. The male is smiling. He is wearing a necktie. 
He has gray and straight hair. He has a big nose and a slightly open mouth. He is smiling. He is wearing a necktie. 
He has gray and straight hair. He has a big nose and a slightly open mouth. The gentleman is smiling. He is wearing a necktie."
000022.jpg,"She has blond and wavy hair. She has arched eyebrows and big lips. The woman is young, has rosy cheeks and heavy makeup. She is wearing lipstick and a necklace. 
She has blond and wavy hair. She has arched eyebrows and big lips. She seems young, has rosy cheeks and heavy makeup. She is wearing lipstick and a necklace. 
She has blond and wavy hair. She has arched eyebrows and big lips. The woman looks young, has rosy cheeks and heavy makeup. She is wearing lipstick and a necklace. 
She has blond and wavy hair. She has arched eyebrows and big lips. The female is young, has rosy cheeks and heavy makeup. She is wearing lipstick and a necklace. 
She has blond and wavy hair. She has arched eyebrows and big lips. The female is young, has rosy cheeks and heavy makeup. She is wearing lipstick and a necklace."
000023.jpg,"He has a 5 o' clock shadow. He has brown and straight hair. He has a big nose, a slightly open mouth, narrow eyes and a pointy nose. He is attractive and young is smiling. 
He sports a 5 o' clock shadow. He has brown and straight hair. He has a big nose, a slightly open mouth, narrow eyes and a pointy nose. The man looks attractive and young is smiling. 
He has a 5 o' clock shadow. He has brown and straight hair. He has a big nose, a slightly open mouth, narrow eyes and a pointy nose. The male seems attractive and young is smiling. 
He sports a 5 o' clock shadow. He has brown and straight hair. He has a big nose, a slightly open mouth, narrow eyes and a pointy nose. The male is smiling, looks attractive and young. 
He has a 5 o' clock shadow. His hair is brown and straight. He has a big nose, a slightly open mouth, narrow eyes and a pointy nose. The man is smiling, seems attractive and young."
000024.jpg,"She has blond hair. She has arched eyebrows, big lips and a slightly open mouth. The female is attractive, young and has heavy makeup. She is wearing earrings, lipstick and a necklace. 
She has blond hair. She has arched eyebrows, big lips and a slightly open mouth. She is attractive, young and has heavy makeup. She is wearing earrings, lipstick and a necklace. 
She has blond hair. She has arched eyebrows, big lips and a slightly open mouth. The lady seems attractive, young and has heavy makeup. She is wearing earrings, lipstick and a necklace. 
Her hair is blond. She has arched eyebrows, big lips and a slightly open mouth. The lady looks attractive, young and has heavy makeup. She is wearing earrings, lipstick and a necklace. 
Her hair is blond. She has arched eyebrows, big lips and a slightly open mouth. She is attractive, young and has heavy makeup. She is wearing earrings, lipstick and a necklace."
000025.jpg,"He sports a 5 o' clock shadow. His hair is receding. He has a big nose. The man is young. 
He has a 5 o' clock shadow. He has receding hair. He has a big nose. The man looks young. 
He has a 5 o' clock shadow. His hair is receding. He has a big nose. He seems young. 
He has a 5 o' clock shadow. His hair is receding. He has a big nose. He seems young. 
He wears a 5 o' clock shadow. He has receding hair. He has a big nose. The man is young."
000026.jpg,"Her hair is straight. She has big lips. The lady seems attractive and young. She is wearing lipstick. 
She has straight hair. She has big lips. The woman looks attractive and young. She is wearing lipstick. 
She has straight hair. She has big lips. The lady is attractive and young. She is wearing lipstick. 
Her hair is straight. She has big lips. The lady is attractive and young. She is wearing lipstick. 
She has straight hair. She has big lips. The lady looks attractive and young. She is wearing lipstick."
000027.jpg,"The female has high cheekbones. Her hair is black and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The woman is attractive, young, is smiling and has heavy makeup. She is wearing lipstick. 
The woman has high cheekbones. She has black and wavy hair. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The woman is smiling, looks attractive, young and has heavy makeup. She is wearing lipstick. 
The woman has pretty high cheekbones. Her hair is black and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The woman seems attractive, young, is smiling and has heavy makeup. She is wearing lipstick. 
The woman has pretty high cheekbones. Her hair is black and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The female is smiling, is attractive, young and has heavy makeup. She is wearing lipstick. 
The female has pretty high cheekbones. She has black and wavy hair. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The female is smiling, is attractive, young and has heavy makeup. She is wearing lipstick."
000028.jpg,"The female has pretty high cheekbones. Her hair is brown and wavy. She has a slightly open mouth and a pointy nose. The lady is smiling, seems attractive, young and has heavy makeup. She is wearing lipstick. 
The female has high cheekbones. Her hair is brown and wavy. She has a slightly open mouth and a pointy nose. The lady is smiling, is attractive, young and has heavy makeup. She is wearing lipstick. 
The woman has pretty high cheekbones. Her hair is brown and wavy. She has a slightly open mouth and a pointy nose. The woman is smiling, looks attractive, young and has heavy makeup. She is wearing lipstick. 
The lady has high cheekbones. She has brown and wavy hair. She has a slightly open mouth and a pointy nose. The female is attractive, young, is smiling and has heavy makeup. She is wearing lipstick. 
The woman has pretty high cheekbones. Her hair is brown and wavy. She has a slightly open mouth and a pointy nose. The female is smiling, is attractive, young and has heavy makeup. She is wearing lipstick."
000029.jpg,"The female has high cheekbones and an oval face. Her hair is blond and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. The female looks attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has high cheekbones and an oval face. She has blond and wavy hair. She has arched eyebrows, a slightly open mouth and a pointy nose. The lady is smiling, looks attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The female has pretty high cheekbones and an oval face. Her hair is blond and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. She seems attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has high cheekbones and an oval face. Her hair is blond and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. She is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. Her hair is blond and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. The female is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick."
000030.jpg,"His hair is wavy. He has a big nose. 
His hair is wavy. He has a big nose. 
His hair is wavy. He has a big nose. 
He has wavy hair. He has a big nose. 
He has wavy hair. He has a big nose."
000031.jpg,"The female has a chubby face, has high cheekbones and an oval face. She has receding hair. She has a slightly open mouth. The lady is smiling and looks young. 
The female has a chubby face, has high cheekbones and an oval face. Her hair is receding. She has a slightly open mouth. The woman is smiling and seems young. 
The female looks chubby, has high cheekbones and an oval face. Her hair is receding. She has a slightly open mouth. The female seems young and is smiling. 
The lady is chubby, has pretty high cheekbones and an oval face. She has receding hair. She has a slightly open mouth. She is smiling and seems young. 
The woman is chubby, has pretty high cheekbones and an oval face. Her hair is receding. She has a slightly open mouth. The lady seems young and is smiling."
000032.jpg,"His hair is brown and straight. He has a big nose and a slightly open mouth. He is wearing a necktie. 
His hair is brown and straight. He has a big nose and a slightly open mouth. He is wearing a necktie. 
His hair is brown and straight. He has a big nose and a slightly open mouth. He is wearing a necktie. 
He has brown and straight hair. He has a big nose and a slightly open mouth. He is wearing a necktie. 
His hair is brown and straight. He has a big nose and a slightly open mouth. He is wearing a necktie."
000033.jpg,"He has brownish black and straight hair. The gentleman is smiling, looks attractive and young. 
He has brownish black and straight hair. The man is smiling, looks attractive and young. 
His hair is brownish black and straight. He is smiling, seems attractive and young. 
He has brownish black and straight hair. He seems attractive and young is smiling. 
He has brownish black and straight hair. The male looks attractive and young is smiling."
000034.jpg,"Her hair is brown and wavy. She has arched eyebrows and a pointy nose. She seems attractive, young and has heavy makeup. She is wearing lipstick. 
Her hair is brown and wavy. She has arched eyebrows and a pointy nose. The lady seems attractive, young and has heavy makeup. She is wearing lipstick. 
She has brown and wavy hair. She has arched eyebrows and a pointy nose. The woman looks attractive, young and has heavy makeup. She is wearing lipstick. 
She has brown and wavy hair. She has arched eyebrows and a pointy nose. The lady looks attractive, young and has heavy makeup. She is wearing lipstick. 
Her hair is brown and wavy. She has arched eyebrows and a pointy nose. The female seems attractive, young and has heavy makeup. She is wearing lipstick."
000035.jpg,"The lady has pretty high cheekbones. Her hair is black and wavy. She has arched eyebrows and big lips. The female seems attractive, young and has heavy makeup. She is wearing lipstick. 
The female has pretty high cheekbones. Her hair is black and wavy. She has arched eyebrows and big lips. The woman seems attractive, young and has heavy makeup. She is wearing lipstick. 
The lady has high cheekbones. Her hair is black and wavy. She has arched eyebrows and big lips. The woman is attractive, young and has heavy makeup. She is wearing lipstick. 
The lady has pretty high cheekbones. Her hair is black and wavy. She has arched eyebrows and big lips. The female is attractive, young and has heavy makeup. She is wearing lipstick. 
The female has high cheekbones. She has black and wavy hair. She has arched eyebrows and big lips. The female looks attractive, young and has heavy makeup. She is wearing lipstick."
000036.jpg,"He has black and straight hair. He has a big nose. He is young. 
His hair is black and straight. He has a big nose. He looks young. 
His hair is black and straight. He has a big nose. The man looks young. 
He has black and straight hair. He has a big nose. He seems young. 
He has black and straight hair. He has a big nose. The gentleman is young."
000037.jpg,"The gentleman is chubby. He has sideburns. He has big lips, a big nose and bushy eyebrows. The male seems young. He is wearing a hat. 
The gentleman is chubby. He has sideburns. He has big lips, a big nose and bushy eyebrows. The male looks young. He is wearing a hat. 
The gentleman is chubby. He has sideburns. He has big lips, a big nose and bushy eyebrows. He looks young. He is wearing a hat. 
The man is chubby. He has sideburns. He has big lips, a big nose and bushy eyebrows. The gentleman seems young. He is wearing a hat. 
The man has a chubby face. He has sideburns. He has big lips, a big nose and bushy eyebrows. The male seems young. He is wearing a hat."
000038.jpg,"The man has pretty high cheekbones. He has a big nose and a slightly open mouth. The man is attractive and young is smiling. 
The man has pretty high cheekbones. He has a big nose and a slightly open mouth. He is attractive and young is smiling. 
The gentleman has pretty high cheekbones. He has a big nose and a slightly open mouth. The gentleman looks attractive and young is smiling. 
The male has high cheekbones. He has a big nose and a slightly open mouth. He is smiling, looks attractive and young. 
The male has pretty high cheekbones. He has a big nose and a slightly open mouth. The man is smiling, is attractive and young."
000039.jpg,"The female has pretty high cheekbones. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The lady is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has high cheekbones. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. She looks attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has pretty high cheekbones. She has brown and wavy hair. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The female is smiling, is attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The lady has pretty high cheekbones. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. She is smiling, looks attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The lady has high cheekbones. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and a pointy nose. The female is smiling, seems attractive, young and has heavy makeup. She is wearing earrings and lipstick."
000040.jpg,"The lady has an oval face. She has black hair. The woman is attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The woman has an oval face. She has black hair. The lady is attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The lady has an oval face. Her hair is black. The lady seems attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The female has an oval face. She has black hair. The female seems attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The female has an oval face. She has black hair. The lady is attractive, young and has heavy makeup. She is wearing earrings and lipstick."
000041.jpg,"The man has high cheekbones. He has a 5 o' clock shadow. He has black hair. He has a slightly open mouth. The man seems attractive and young is smiling. 
The gentleman has high cheekbones. He wears a 5 o' clock shadow. His hair is black. He has a slightly open mouth. He seems attractive and young is smiling. 
The male has pretty high cheekbones. He has a 5 o' clock shadow. His hair is black. He has a slightly open mouth. He seems attractive and young is smiling. 
The male has pretty high cheekbones. He wears a 5 o' clock shadow. He has black hair. He has a slightly open mouth. The gentleman looks attractive and young is smiling. 
The male has high cheekbones. He has a 5 o' clock shadow. He has black hair. He has a slightly open mouth. The man is attractive and young is smiling."
000042.jpg,"The female has pretty high cheekbones and an oval face. She has brown hair. She has arched eyebrows and a pointy nose. She is smiling, seems attractive, young, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The female has pretty high cheekbones and an oval face. She has brown hair. She has arched eyebrows and a pointy nose. The woman is smiling, is attractive, young, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The woman has high cheekbones and an oval face. Her hair is brown. She has arched eyebrows and a pointy nose. The female is smiling, seems attractive, young, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. She has brown hair. She has arched eyebrows and a pointy nose. The female is attractive, young, is smiling, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. She has brown hair. She has arched eyebrows and a pointy nose. She is smiling, seems attractive, young, has rosy cheeks and heavy makeup. She is wearing earrings and lipstick."
000043.jpg,"The female has pretty high cheekbones and an oval face. Her hair is brown and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. The woman is smiling, seems attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. She has brown and wavy hair. She has arched eyebrows, a slightly open mouth and a pointy nose. The lady seems attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The woman has pretty high cheekbones and an oval face. She has brown and wavy hair. She has arched eyebrows, a slightly open mouth and a pointy nose. The lady is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has high cheekbones and an oval face. Her hair is brown and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. The woman is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The lady has high cheekbones and an oval face. Her hair is brown and wavy. She has arched eyebrows, a slightly open mouth and a pointy nose. She is smiling, is attractive, young and has heavy makeup. She is wearing earrings and lipstick."
000044.jpg,"She has black hair. She has big lips, a big nose and bushy eyebrows. She seems young. She is wearing lipstick and a necklace. 
She has black hair. She has big lips, a big nose and bushy eyebrows. The lady looks young. She is wearing lipstick and a necklace. 
Her hair is black. She has big lips, a big nose and bushy eyebrows. She looks young. She is wearing lipstick and a necklace. 
Her hair is black. She has big lips, a big nose and bushy eyebrows. She looks young. She is wearing lipstick and a necklace. 
She has black hair. She has big lips, a big nose and bushy eyebrows. The lady looks young. She is wearing lipstick and a necklace."
000045.jpg,"The woman has pretty high cheekbones and an oval face. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and narrow eyes. The female is attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The woman has pretty high cheekbones and an oval face. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and narrow eyes. The female is smiling, is attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The woman has pretty high cheekbones and an oval face. She has brown and wavy hair. She has arched eyebrows, big lips, a slightly open mouth and narrow eyes. The female looks attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. She has brown and wavy hair. She has arched eyebrows, big lips, a slightly open mouth and narrow eyes. The woman is smiling, seems attractive, young and has heavy makeup. She is wearing earrings and lipstick. 
The female has high cheekbones and an oval face. Her hair is brown and wavy. She has arched eyebrows, big lips, a slightly open mouth and narrow eyes. The woman looks attractive, young, is smiling and has heavy makeup. She is wearing earrings and lipstick."
